Census,School Name,Category,Year Level,Students
05 August 2016,Cranleigh School,Gov,01,12
05 August 2016,Cranleigh School,Gov,02,19
05 August 2016,Cranleigh School,Gov,03,3
05 August 2016,Cranleigh School,Gov,04,10
05 August 2016,Cranleigh School,Gov,05,8
05 August 2016,Cranleigh School,Gov,06,5
05 August 2016,Curtin Primary School,Gov,Preschool,66
05 August 2016,Curtin Primary School,Gov,Kindergarten,54
05 August 2016,Curtin Primary School,Gov,01,63
05 August 2016,Curtin Primary School,Gov,02,70
05 August 2016,Curtin Primary School,Gov,03,72
05 August 2016,Curtin Primary School,Gov,04,78
05 August 2016,Curtin Primary School,Gov,05,76
05 August 2016,Curtin Primary School,Gov,06,69
05 August 2016,Dickson College,Gov,07,12
05 August 2016,Dickson College,Gov,08,8
05 August 2016,Dickson College,Gov,09,12
05 August 2016,Dickson College,Gov,10,19
05 August 2016,Dickson College,Gov,11,434
05 August 2016,Dickson College,Gov,12,369
05 August 2016,Duffy Primary School,Gov,Preschool,49
05 August 2016,Duffy Primary School,Gov,Kindergarten,46
05 August 2016,Duffy Primary School,Gov,01,45
05 August 2016,Duffy Primary School,Gov,02,55
05 August 2016,Duffy Primary School,Gov,03,47
05 August 2016,Duffy Primary School,Gov,04,57
05 August 2016,Duffy Primary School,Gov,05,40
05 August 2016,Duffy Primary School,Gov,06,39
05 August 2016,Erindale College,Gov,10,49
05 August 2016,Erindale College,Gov,11,259
05 August 2016,Erindale College,Gov,12,208
05 August 2016,Evatt Primary School,Gov,Preschool,66
05 August 2016,Evatt Primary School,Gov,Kindergarten,35
05 August 2016,Evatt Primary School,Gov,01,46
05 August 2016,Evatt Primary School,Gov,02,34
05 August 2016,Evatt Primary School,Gov,03,41
05 August 2016,Evatt Primary School,Gov,04,41
05 August 2016,Evatt Primary School,Gov,05,44
05 August 2016,Evatt Primary School,Gov,06,34
05 August 2016,Fadden Primary School,Gov,Preschool,43
05 August 2016,Fadden Primary School,Gov,Kindergarten,40
05 August 2016,Fadden Primary School,Gov,01,50
05 August 2016,Fadden Primary School,Gov,02,59
05 August 2016,Fadden Primary School,Gov,03,46
05 August 2016,Fadden Primary School,Gov,04,56
05 August 2016,Fadden Primary School,Gov,05,40
05 August 2016,Fadden Primary School,Gov,06,35
05 August 2016,Farrer Primary School,Gov,Preschool,45
05 August 2016,Farrer Primary School,Gov,Kindergarten,39
05 August 2016,Farrer Primary School,Gov,01,46
05 August 2016,Farrer Primary School,Gov,02,47
05 August 2016,Farrer Primary School,Gov,03,42
05 August 2016,Farrer Primary School,Gov,04,48
05 August 2016,Farrer Primary School,Gov,05,52
05 August 2016,Farrer Primary School,Gov,06,34
05 August 2016,Florey Primary School,Gov,Preschool,85
05 August 2016,Florey Primary School,Gov,Kindergarten,59
05 August 2016,Florey Primary School,Gov,01,70
05 August 2016,Florey Primary School,Gov,02,67
05 August 2016,Florey Primary School,Gov,03,61
05 August 2016,Florey Primary School,Gov,04,60
05 August 2016,Florey Primary School,Gov,05,65
05 August 2016,Florey Primary School,Gov,06,64
05 August 2016,Forrest Primary School,Gov,Preschool,46
05 August 2016,Forrest Primary School,Gov,Kindergarten,58
05 August 2016,Forrest Primary School,Gov,01,56
05 August 2016,Forrest Primary School,Gov,02,63
05 August 2016,Forrest Primary School,Gov,03,78
05 August 2016,Forrest Primary School,Gov,04,70
05 August 2016,Forrest Primary School,Gov,05,69
05 August 2016,Forrest Primary School,Gov,06,77
05 August 2016,Franklin Early Childhood School,Gov,Preschool,150
05 August 2016,Franklin Early Childhood School,Gov,Kindergarten,69
05 August 2016,Franklin Early Childhood School,Gov,01,47
05 August 2016,Franklin Early Childhood School,Gov,02,29
05 August 2016,Fraser Primary School,Gov,Preschool,66
05 August 2016,Fraser Primary School,Gov,Kindergarten,60
05 August 2016,Fraser Primary School,Gov,01,61
05 August 2016,Fraser Primary School,Gov,02,61
05 August 2016,Fraser Primary School,Gov,03,65
05 August 2016,Fraser Primary School,Gov,04,56
05 August 2016,Fraser Primary School,Gov,05,52
05 August 2016,Fraser Primary School,Gov,06,47
05 August 2016,Garran Primary School,Gov,Preschool,45
05 August 2016,Garran Primary School,Gov,Kindergarten,73
05 August 2016,Garran Primary School,Gov,01,88
05 August 2016,Garran Primary School,Gov,02,88
05 August 2016,Garran Primary School,Gov,03,82
05 August 2016,Garran Primary School,Gov,04,76
05 August 2016,Garran Primary School,Gov,05,89
05 August 2016,Garran Primary School,Gov,06,66
05 August 2016,Gilmore Primary School,Gov,Preschool,13
05 August 2016,Gilmore Primary School,Gov,Kindergarten,17
05 August 2016,Gilmore Primary School,Gov,01,14
05 August 2016,Gilmore Primary School,Gov,02,15
05 August 2016,Gilmore Primary School,Gov,03,9
05 August 2016,Gilmore Primary School,Gov,04,14
05 August 2016,Gilmore Primary School,Gov,05,14
05 August 2016,Gilmore Primary School,Gov,06,7
05 August 2016,Giralang Primary School,Gov,Preschool,65
05 August 2016,Giralang Primary School,Gov,Kindergarten,57
05 August 2016,Giralang Primary School,Gov,01,41
05 August 2016,Giralang Primary School,Gov,02,31
05 August 2016,Giralang Primary School,Gov,03,55
05 August 2016,Giralang Primary School,Gov,04,30
05 August 2016,Giralang Primary School,Gov,05,37
05 August 2016,Giralang Primary School,Gov,06,24
05 August 2016,Gold Creek School,Gov,Preschool,128
05 August 2016,Gold Creek School,Gov,Kindergarten,86
05 August 2016,Gold Creek School,Gov,01,90
05 August 2016,Gold Creek School,Gov,02,69
05 August 2016,Gold Creek School,Gov,03,75
05 August 2016,Gold Creek School,Gov,04,85
05 August 2016,Gold Creek School,Gov,05,72
05 August 2016,Gold Creek School,Gov,06,74
05 August 2016,Gold Creek School,Gov,07,148
05 August 2016,Gold Creek School,Gov,08,134
05 August 2016,Gold Creek School,Gov,09,126
05 August 2016,Gold Creek School,Gov,10,144
05 August 2016,Gordon Primary School,Gov,Preschool,102
05 August 2016,Gordon Primary School,Gov,Kindergarten,68
05 August 2016,Gordon Primary School,Gov,01,62
05 August 2016,Gordon Primary School,Gov,02,63
05 August 2016,Gordon Primary School,Gov,03,47
05 August 2016,Gordon Primary School,Gov,04,62
05 August 2016,Gordon Primary School,Gov,05,55
05 August 2016,Gordon Primary School,Gov,06,44
05 August 2016,Gowrie Primary School,Gov,Preschool,41
05 August 2016,Gowrie Primary School,Gov,Kindergarten,43
05 August 2016,Gowrie Primary School,Gov,01,47
05 August 2016,Gowrie Primary School,Gov,02,25
05 August 2016,Gowrie Primary School,Gov,03,33
05 August 2016,Gowrie Primary School,Gov,04,27
05 August 2016,Gowrie Primary School,Gov,05,33
05 August 2016,Gowrie Primary School,Gov,06,28
05 August 2016,Gungahlin College,Gov,10,24
05 August 2016,Gungahlin College,Gov,11,573
05 August 2016,Gungahlin College,Gov,12,420
05 August 2016,Harrison School,Gov,Preschool,149
05 August 2016,Harrison School,Gov,Kindergarten,171
05 August 2016,Harrison School,Gov,01,179
05 August 2016,Harrison School,Gov,02,151
05 August 2016,Harrison School,Gov,03,146
05 August 2016,Harrison School,Gov,04,165
05 August 2016,Harrison School,Gov,05,165
05 August 2016,Harrison School,Gov,06,142
05 August 2016,Harrison School,Gov,07,130
05 August 2016,Harrison School,Gov,08,99
05 August 2016,Harrison School,Gov,09,116
05 August 2016,Harrison School,Gov,10,108
05 August 2016,Hawker College,Gov,11,246
05 August 2016,Hawker College,Gov,12,186
05 August 2016,Hawker Primary School,Gov,Preschool,44
05 August 2016,Hawker Primary School,Gov,Kindergarten,47
05 August 2016,Hawker Primary School,Gov,01,54
05 August 2016,Hawker Primary School,Gov,02,51
05 August 2016,Hawker Primary School,Gov,03,39
05 August 2016,Hawker Primary School,Gov,04,46
05 August 2016,Hawker Primary School,Gov,05,49
05 August 2016,Hawker Primary School,Gov,06,49
05 August 2016,Hughes Primary School,Gov,Preschool,44
05 August 2016,Hughes Primary School,Gov,Kindergarten,54
05 August 2016,Hughes Primary School,Gov,01,61
05 August 2016,Hughes Primary School,Gov,02,62
05 August 2016,Hughes Primary School,Gov,03,64
05 August 2016,Hughes Primary School,Gov,04,56
05 August 2016,Hughes Primary School,Gov,05,57
05 August 2016,Hughes Primary School,Gov,06,51
05 August 2016,Isabella Plains Early Childhood School,Gov,Preschool,81
05 August 2016,Isabella Plains Early Childhood School,Gov,Kindergarten,51
05 August 2016,Isabella Plains Early Childhood School,Gov,01,31
05 August 2016,Isabella Plains Early Childhood School,Gov,02,22
05 August 2016,Jervis Bay School,Gov,Preschool,26
05 August 2016,Jervis Bay School,Gov,Kindergarten,7
05 August 2016,Jervis Bay School,Gov,01,4
05 August 2016,Jervis Bay School,Gov,02,5
05 August 2016,Jervis Bay School,Gov,03,10
05 August 2016,Jervis Bay School,Gov,04,7
05 August 2016,Jervis Bay School,Gov,05,8
05 August 2016,Jervis Bay School,Gov,06,4
05 August 2016,Kaleen Primary School,Gov,Preschool,66
05 August 2016,Kaleen Primary School,Gov,Kindergarten,93
05 August 2016,Kaleen Primary School,Gov,01,77
05 August 2016,Kaleen Primary School,Gov,02,76
05 August 2016,Kaleen Primary School,Gov,03,81
05 August 2016,Kaleen Primary School,Gov,04,73
05 August 2016,Kaleen Primary School,Gov,05,70
05 August 2016,Kaleen Primary School,Gov,06,70
05 August 2016,Kingsford Smith School,Gov,Preschool,85
05 August 2016,Kingsford Smith School,Gov,Kindergarten,69
05 August 2016,Kingsford Smith School,Gov,01,72
05 August 2016,Kingsford Smith School,Gov,02,66
05 August 2016,Kingsford Smith School,Gov,03,69
05 August 2016,Kingsford Smith School,Gov,04,67
05 August 2016,Kingsford Smith School,Gov,05,64
05 August 2016,Kingsford Smith School,Gov,06,72
05 August 2016,Kingsford Smith School,Gov,07,83
05 August 2016,Kingsford Smith School,Gov,08,70
05 August 2016,Kingsford Smith School,Gov,09,86
05 August 2016,Kingsford Smith School,Gov,10,77
05 August 2016,Koori Preschool,Gov,Preschool,82
05 August 2016,Lake Tuggeranong College,Gov,10,13
05 August 2016,Lake Tuggeranong College,Gov,11,388
05 August 2016,Lake Tuggeranong College,Gov,12,366
05 August 2016,Lake Tuggeranong College,Gov,Older,1
05 August 2016,Lanyon High School,Gov,07,88
05 August 2016,Lanyon High School,Gov,08,69
05 August 2016,Lanyon High School,Gov,09,92
05 August 2016,Lanyon High School,Gov,10,88
05 August 2016,Latham Primary School,Gov,Preschool,44
05 August 2016,Latham Primary School,Gov,Kindergarten,36
05 August 2016,Latham Primary School,Gov,01,44
05 August 2016,Latham Primary School,Gov,02,38
05 August 2016,Latham Primary School,Gov,03,39
05 August 2016,Latham Primary School,Gov,04,34
05 August 2016,Latham Primary School,Gov,05,46
05 August 2016,Latham Primary School,Gov,06,27
05 August 2016,Lyneham High School,Gov,07,278
05 August 2016,Lyneham High School,Gov,08,266
05 August 2016,Lyneham High School,Gov,09,257
05 August 2016,Lyneham High School,Gov,10,272
05 August 2016,Lyneham Primary School,Gov,Preschool,61
05 August 2016,Lyneham Primary School,Gov,Kindergarten,61
05 August 2016,Lyneham Primary School,Gov,01,64
05 August 2016,Lyneham Primary School,Gov,02,55
05 August 2016,Lyneham Primary School,Gov,03,59
05 August 2016,Lyneham Primary School,Gov,04,50
05 August 2016,Lyneham Primary School,Gov,05,79
05 August 2016,Lyneham Primary School,Gov,06,54
05 August 2016,Lyons Early Childhood School,Gov,Preschool,62
05 August 2016,Lyons Early Childhood School,Gov,Kindergarten,40
05 August 2016,Lyons Early Childhood School,Gov,01,32
05 August 2016,Lyons Early Childhood School,Gov,02,25
05 August 2016,Macgregor Primary School,Gov,Preschool,80
05 August 2016,Macgregor Primary School,Gov,Kindergarten,78
05 August 2016,Macgregor Primary School,Gov,01,91
05 August 2016,Macgregor Primary School,Gov,02,62
05 August 2016,Macgregor Primary School,Gov,03,70
05 August 2016,Macgregor Primary School,Gov,04,76
05 August 2016,Macgregor Primary School,Gov,05,52
05 August 2016,Macgregor Primary School,Gov,06,54
05 August 2016,Macquarie Primary School,Gov,Preschool,44
05 August 2016,Macquarie Primary School,Gov,Kindergarten,49
05 August 2016,Macquarie Primary School,Gov,01,59
05 August 2016,Macquarie Primary School,Gov,02,39
05 August 2016,Macquarie Primary School,Gov,03,53
05 August 2016,Macquarie Primary School,Gov,04,57
05 August 2016,Macquarie Primary School,Gov,05,50
05 August 2016,Macquarie Primary School,Gov,06,43
05 August 2016,Majura Primary School,Gov,Preschool,86
05 August 2016,Majura Primary School,Gov,Kindergarten,73
05 August 2016,Majura Primary School,Gov,01,78
05 August 2016,Majura Primary School,Gov,02,79
05 August 2016,Majura Primary School,Gov,03,62
05 August 2016,Majura Primary School,Gov,04,76
05 August 2016,Majura Primary School,Gov,05,74
05 August 2016,Majura Primary School,Gov,06,74
05 August 2016,Malkara School,Gov,Preschool,14
05 August 2016,Malkara School,Gov,Kindergarten,12
05 August 2016,Malkara School,Gov,01,11
05 August 2016,Malkara School,Gov,02,3
05 August 2016,Malkara School,Gov,03,7
05 August 2016,Malkara School,Gov,04,13
05 August 2016,Malkara School,Gov,05,10
05 August 2016,Malkara School,Gov,06,12
05 August 2016,Maribyrnong Primary School,Gov,Preschool,84
05 August 2016,Maribyrnong Primary School,Gov,Kindergarten,65
05 August 2016,Maribyrnong Primary School,Gov,01,45
05 August 2016,Maribyrnong Primary School,Gov,02,60
05 August 2016,Maribyrnong Primary School,Gov,03,23
05 August 2016,Maribyrnong Primary School,Gov,04,38
05 August 2016,Maribyrnong Primary School,Gov,05,33
05 August 2016,Maribyrnong Primary School,Gov,06,26
05 August 2016,Mawson Primary School,Gov,Preschool,65
05 August 2016,Mawson Primary School,Gov,Kindergarten,71
05 August 2016,Mawson Primary School,Gov,01,60
05 August 2016,Mawson Primary School,Gov,02,69
05 August 2016,Mawson Primary School,Gov,03,56
05 August 2016,Mawson Primary School,Gov,04,39
05 August 2016,Mawson Primary School,Gov,05,42
05 August 2016,Mawson Primary School,Gov,06,46
05 August 2016,Melba Copland Secondary School,Gov,07,121
05 August 2016,Melba Copland Secondary School,Gov,08,93
05 August 2016,Melba Copland Secondary School,Gov,09,89
05 August 2016,Melba Copland Secondary School,Gov,10,110
05 August 2016,Melba Copland Secondary School,Gov,11,72
05 August 2016,Melba Copland Secondary School,Gov,12,82
05 August 2016,Melrose High School,Gov,07,188
05 August 2016,Melrose High School,Gov,08,191
05 August 2016,Melrose High School,Gov,09,163
05 August 2016,Melrose High School,Gov,10,205
05 August 2016,Miles Franklin Primary School,Gov,Preschool,87
05 August 2016,Miles Franklin Primary School,Gov,Kindergarten,66
05 August 2016,Miles Franklin Primary School,Gov,01,75
05 August 2016,Miles Franklin Primary School,Gov,02,78
05 August 2016,Miles Franklin Primary School,Gov,03,73
05 August 2016,Miles Franklin Primary School,Gov,04,57
05 August 2016,Miles Franklin Primary School,Gov,05,55
05 August 2016,Miles Franklin Primary School,Gov,06,53
05 August 2016,Monash Primary School,Gov,Preschool,66
05 August 2016,Monash Primary School,Gov,Kindergarten,55
05 August 2016,Monash Primary School,Gov,01,65
05 August 2016,Monash Primary School,Gov,02,68
05 August 2016,Monash Primary School,Gov,03,51
05 August 2016,Monash Primary School,Gov,04,61
05 August 2016,Monash Primary School,Gov,05,56
05 August 2016,Monash Primary School,Gov,06,36
05 August 2016,Mount Rogers Primary School,Gov,Preschool,109
05 August 2016,Mount Rogers Primary School,Gov,Kindergarten,77
05 August 2016,Mount Rogers Primary School,Gov,01,56
05 August 2016,Mount Rogers Primary School,Gov,02,51
05 August 2016,Mount Rogers Primary School,Gov,03,63
05 August 2016,Mount Rogers Primary School,Gov,04,47
05 August 2016,Mount Rogers Primary School,Gov,05,56
05 August 2016,Mount Rogers Primary School,Gov,06,39
05 August 2016,Mount Stromlo High School,Gov,07,152
05 August 2016,Mount Stromlo High School,Gov,08,166
05 August 2016,Mount Stromlo High School,Gov,09,137
05 August 2016,Mount Stromlo High School,Gov,10,141
05 August 2016,Namadgi School,Gov,Preschool,86
05 August 2016,Namadgi School,Gov,Kindergarten,59
05 August 2016,Namadgi School,Gov,01,49
05 August 2016,Namadgi School,Gov,02,61
05 August 2016,Namadgi School,Gov,03,60
05 August 2016,Namadgi School,Gov,04,67
05 August 2016,Namadgi School,Gov,05,63
05 August 2016,Namadgi School,Gov,06,49
05 August 2016,Namadgi School,Gov,07,56
05 August 2016,Namadgi School,Gov,08,48
05 August 2016,Namadgi School,Gov,09,51
05 August 2016,Namadgi School,Gov,10,60
05 August 2016,Narrabundah College,Gov,11,495
05 August 2016,Narrabundah College,Gov,12,478
05 August 2016,Narrabundah Early Childhood School,Gov,Preschool,74
05 August 2016,Narrabundah Early Childhood School,Gov,Kindergarten,23
